gender,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentschoolSatisfaction,StudentAbsenceDays,Class
M,15,16,2,20,Good,Under-7,M
M,20,20,3,25,Good,Under-7,M
M,10,7,0,30,Bad,Above-7,L
M,30,25,5,35,Bad,Above-7,L
M,40,50,12,50,Bad,Above-7,M
F,42,30,13,70,Bad,Above-7,M
M,35,12,0,17,Bad,Above-7,L
M,50,10,15,22,Good,Under-7,M
F,12,21,16,50,Good,Under-7,M
F,70,80,25,70,Good,Under-7,M
M,50,88,30,80,Good,Under-7,H
M,19,6,19,12,Good,Under-7,M
M,5,1,0,11,Bad,Above-7,L
M,20,14,12,19,Bad,Above-7,L
F,62,70,44,60,Bad,Above-7,H
F,30,40,22,66,Good,Under-7,M
M,36,30,20,80,Bad,Above-7,M
M,55,13,35,90,Bad,Above-7,M
F,69,15,36,96,Good,Under-7,M
M,70,50,40,99,Good,Under-7,H
F,60,60,33,90,Bad,Above-7,M
F,10,12,4,80,Bad,Under-7,M
M,15,21,2,90,Bad,Under-7,M
M,2,0,2,50,Bad,Above-7,L
M,0,2,3,70,Good,Above-7,L
M,8,7,30,40,Good,Above-7,L
M,19,19,25,40,Bad,Under-7,M
M,25,15,12,33,Bad,Above-7,L
M,75,85,52,43,Good,Under-7,M
F,30,90,33,35,Bad,Under-7,M
F,35,80,50,70,Good,Under-7,H
M,4,5,40,16,Good,Above-7,L
F,2,19,10,50,Good,Above-7,L
M,8,22,9,40,Bad,Above-7,L
M,12,11,8,40,Bad,Above-7,L
M,10,12,17,30,Bad,Above-7,L
M,8,6,4,22,Good,Above-7,L
F,45,54,26,90,Good,Under-7,M
M,0,0,0,4,Bad,Above-7,L
F,50,90,37,70,Good,Under-7,M
F,14,13,3,70,Bad,Above-7,L
M,19,20,16,50,Good,Under-7,M
M,10,12,7,33,Good,Above-7,L
F,30,35,28,90,Good,Under-7,M
F,33,33,30,90,Bad,Under-7,M
M,20,12,15,70,Good,Above-7,L
M,7,10,1,30,Bad,Above-7,L
F,70,4,39,90,Good,Under-7,H
F,13,80,40,88,Good,Under-7,H
F,29,39,50,77,Good,Under-7,M
F,20,14,12,70,Bad,Above-7,L
M,39,15,16,50,Good,Above-7,L
F,55,90,16,40,Bad,Under-7,M
F,49,70,19,75,Good,Under-7,H
M,12,50,8,30,Bad,Above-7,L
M,16,14,6,20,Good,Above-7,L
M,19,5,4,1,Good,Above-7,L
M,5,2,6,5,Good,Above-7,L
M,28,60,19,50,Good,Under-7,M
F,27,22,22,40,Good,Under-7,M
F,21,10,28,20,Good,Above-7,L
M,50,70,32,40,Good,Under-7,M
M,80,90,70,80,Good,Under-7,H
M,17,13,16,12,Bad,Under-7,M
M,0,5,7,2,Bad,Above-7,L
M,13,5,18,19,Bad,Above-7,L
